"2021/07/13 8:34:39 PM GMT+1","6º ano","Zé gotinha é um mascote de vacinação. ","Darlan rosa foi a pessoa que criou o Zé gotinha. ","Elas eram assustadoras e passavam na TV . ","Ele foi criado em 1986.","Antes ele não era um mascote agora ele é, antes ele era branco agora ele é azul. ","Porque ele não tinha nome. ","Foi com cartas que chegaram na cidade da escritora e logo foi sorteado uma carta que tinha seu dentro. ","Pois tinha mais de 10 mil cartas escritas Zé gotinha. ","Um garoto do Distrito Federal. ","Deixar as crianças sem medo ao tomar vacina. ","É sério pois se as pessoas não se vacinar elas podem morrer ou ficar em estado grave. ","Pois ela te salva. ","É uma doença que deixa a pessoa paralisada. ","Pois naquela época não existia internet. ","A coragem. ","Atualmente ele trabalha como escultor. ","Para representar as falas. ","Fato: nome de prédio/opnião:aqui eu sou uma pessoa ilustre. ","Deslanchar:ir para frente, barreira do medo: ter medo e não poder fazer nada a respeito. ","Significa ter muito medo de algo. ","Foi de um arquivo pessoal de Darlan rosa. "
"2021/07/13 8:36:05 PM GMT+1","6º ano","Zé Gotinha é um mascote criado para convencer as pessoas a se vacinarem contra doenças","Foi que criou o Zé gotinha","propagandas assustadoras","1986","ele era so um desenho, agora ele é uma animaçao","Porque ele ficava triste porque ele não tinha um nome","um sorteio","porque tiveram 10mil cartas falando que o nome dele tinha que ser Zé Gotinha","um moleque do DF","fazer as pessoas se vacinarem","porque é uma proteção contra doenças fatais/mortais","porque invés da vacina te machucar ela vai te proteger de doenças","uma paralisia que so acontese e criança","porque nao esistia internet","ele é carismatico e fofinho","aparece na TV","fala de pessoas","h","o que impediam as pessoas de se vacinarem acabou","ficar muito apavorado"," foi em um arquivo pessoal de Darlan Rosa"
"2021/07/13 8:46:12 PM GMT+1","6º ano","é um personagem que foi criado por Darlan Rosa, e que tem o intuito de fazer procapanas sobre a vacinação.
","o criador do 1personagem: Zé Gotinha.
","Antes da criação do Zé gotinha, a maioria das  crianças se recusavam a ir, mas depois da criação do zé Gotinha as crianças começaram a aceitar e ir ao posto de vacinação.","em 1986
","Antes ele era azul, agora ele é branco","Ele esta chorando no comercial pois estava triste por não ter um nome.
","Foi escolhido por meio de sugestões feitas pelo Brasil.","Pois eles viram mais de 10 mil cartas dando a ideia de Zé Gotinha.","Um menino do estrito federal
","A ideia principal para o personagem Zé gotinha era que alguém forte passasse  coragem para quem tinha que vacinar .","Vacina é um assunto serio pois ninguém gosta de ficar doente, ou até morrrer por não tomar a vacina.","Pois é importante para o seu corpo, alem de não doer nada.","Poliomielite é é uma doença que causa paralisia em crianças.","Pois antigamente não havia a internet.","O seu formato de gota.","Atualmente ele trabalha como escultor
","Para fazer uma citação de uma frase que alguém falou.","Fato:Darlan virou até nome de prédio residencial na cidade. Opnião:Aqui, sou uma pessoa ilustre”, brinca. *","A barreira dos medos significa o medo que as pessoas tinham para irem vacinar.  deslanchou significa que ele ficou famoso, e muito conhecido.","morrer de medo nessa frase significa que eles precisavam que todos ficassem com medo de ficar doente para tomar a vacina.","A reportagem selecionou esse desenho de duas gotas de Pólio "
"2021/07/13 8:54:08 PM GMT+1","6º ano","É um personagem de uma propaganda criado para espalhar coragem.","É o ""pai"" do Zé Gotinha.","Eram propagandas assustadoras que dava medo para as pessoas irem vacinar.","Ele nasceu há 35 anos no ano de 1986.","Zé Gotinha não nasceu como a mascote que é hoje, mas, sim, como uma representação da vacina em si.","Ele aparecia chorando por não ter um nome.","Brasileiros convidados a mandar sugestões por cartas.","Porque o Darlan Rosa fez o boneco com duas gotinhas da pólio.","Um menino do Distrito Federal.","Espalhar coragem para as pessoas vacinar","Porque é preciso vacinar para curar ou prevenir doenças.","Para não ficar assustado.","Doença que causa paralisia nas crianças.","Pois naquela época não havia internet.","A coragem.","Ele é escultor.","Para demonstrar a fala de uma pessoa.","Fato: virou até nome do prédio residencial na cidade / Opinião: ""Aqui sou uma pessoa ilustre"".                       ","A barreira dos medos quer dizer os medos e a palavra deslanchou por - se marcha.","Ficar com muito medo.","Do arquivo pessoal do Darlan Rosa."
"2021/07/13 8:55:09 PM GMT+1","6º ano","Um personagem criado para as campanhas de vacinação ","Foi o inventor do zé gotinha","Eram assustadoras ","Em 1986","1986:era mais assustador 2000 pra ca divert as crianças","porque ele não tinha nome","Através de um concurso","Porque mais de 10 mil cartas sugeriu esse nome","Um menino do Distrito Federal levou o premio","Chamar as crianças para vacinar sem medo","Para proteger de doenças","Porque é uma dor nescessaria","Vírus que pode causar paralisia ","Para todos os brasileiros participarem","Representa um boneco alegre","Atualmente ele trabalha como escultor em Brasilia","Para ressaltar a fala do inventor","sei la","As crianças iam sem medo e a campanha foi para frente","Precisava passar medo pra vacinar e ficar boa","Foi em um arquivo pessoal do criador do zé gotinha"
"2021/07/13 8:57:26 PM GMT+1","6º ano","zé gotinha  é  um personagem fofo das vacinas  criado para as crianças não terem mais medo das vacinas.","Darlan Rosa, foi o criador do personagem chamado Zé Gotinha.","Eram propagandas assustadoras.
","Zé gotinha foi criado em 1986
","Antigamente ele era azul e pequeno e hoje em dia  ele e branco e ate parece outro personagem e esta maior.
","Porque ele ainda não tinha um nome.","Foi escolhido em um concurso  e o nome vencedor foi ZÉ GOTINHA.","Porque mais de 10 mil pessoas escolheram esse nome.","Um menino do Distrito Federal.","Conscientizar sobre a importância da vacina.","Porque pode evitar muitas doenças.","Porque é só uma gotinha direto na boca.","É uma doença que faz com que a criança perde os movimentos das pernas.","Para tornar possível que todos participassem.","Sua aparência e sua fofura e sua felicidade.","Trabalha como escultor.","Para fazer referência de quem está falando.","h","significa que as pessoas deixaram de ter medo e a campanha foi um sucesso.","significa que as pessoas so entenderiam a necessidade se sentissem medo.","Selecionou do arquivo pessoal de Darlan Rosa."
"2021/07/13 9:00:15 PM GMT+1","6º ano","Zé gotinha é um personagem criado por Darlan Rosa para ajudar as crianças que tinham (ou tem) medo da vacinação .","Darlan Rosa é o "" pai "" do  Zé Gotinha , nascido em 1947 e mora atualmente em Brasília possuindo 74 anos .","As propagandas eram assustadoras , pelo fato de alguns médicos acharem que para que as famílias entendessem que a vacina é assunto sério  , todos deveriam ter medo delas .","O zé Gotinha foi criado em 1986 .","O Zé Gotinha era azul com um nariz achatado , diferente de hoje em dia , ele é branco com o nariz arrebitado .","Zé Gotinha aparecia chorando pois ainda não tinha nome .","A escolha foi feita por meio de cartas que foram enviadas .","Os organizadores receberam mais de 10 mil cartas a pedido do nome Zé Gotinha e então foi decidido que esse seria o seu nome .","Foi um menino do Distrito federal .","A ideia principal da campanha Zé Gotinha era fazer com que as crianças perdessem o medo de vacina .","A vacina é um assunto sério pois evita muitas doenças .","porquê ela é para o seu bem .","É uma doença que causava paralisia nas crianças , mas hoje em dia não existe mais .","Foi feito por meio de cartas para que soubessem quem foi que mandou o nome , para que premiassem o criador do melhor nome .","O personagem tem um carisma muito grande .","O Dorlan Rosa atualmente mora em Brasília e possui 74 anos .","as aspas indicam as falas .","Fato: Aqui . Opinião: ilustre .","A palavra tem o sentido de que foi muito bem .","Significa que deveriam ter muito medo  .","A reportagem selecionou esse desenho dos arquivos pessoais de Darlan Rosa ."
"2021/07/13 9:02:00 PM GMT+1","6º ano","Zé Gotinha é um personagem que representa a Gotinha da vacina que as crianças tomam ","Darlan Rosa é quem criou o Zé Gotinha ","Ele aparecia em um comercial chorando, sentado em um cantinho, e dizia que estava triste por não ter um nome","Ele foi criado em 5 de fevereiro de 1986","Ele não nasceu como mascote, mas, sim, como uma representação da vacina em si","Ele aparecia no comercial chorando, pois não tinha nome ","Eles fizeram um concurso de cartas "," Foram mais de 10 mil cartas com o nome Ze Gotinha então fizeram o sorteio para ser justo","Um menino do Distrito Federal","A ideia principal era para as crianças não ficar com medo ","A vacina é um assunto sério, pois se não tomarmos ela ficamos doente ","Não é preciso, pois elas vai nos proteger e nos livrar dos vírus ","Doença que causa paralisia nas crianças ","Se o concurso não fosse por cartas ia ter muitas gente e eles não ia dar conta de ouvir todas as opiniões ","O personagem e legal e muito corajoso ","Atualmente ele trabalha como escultor","Para indicar as falas ","Ele é uma pessoas importante","Barreira dos medos: Medos 
Deslanchou: Acabou","Ficar com medo ","Da propaganda "
"2021/07/13 9:03:36 PM GMT+1","6º ano","É um personagem que representa a gotinha que as crianças tomam","É quem inventou o personagem Zé gotinha","O Zé gotinha aparecia no comercial chorando sentado em um cantinho e dizia que tava triste por não ter um nome ","Em 1986","Ele era azul e hoje ele é branco","Por que ele não tinha um nome ","Por um sorteio, as pessoas foram mandando nomes em algumas cartas, e depois eles fizeram um sorteio","Tinha mais de dez mil cartas dizendo para por o nome Zé gotinha então os organizadores decidiram por esse nome","Um menino do distrito federal","Para as crianças não ter mais medo de tomar vacina","Por que elas salvam vidas","Por que você vai ficar curado e mais forte ","Doença que causa paralisia nas crianças","Por que era muitas pessoas dando opções de nomes e eles não iriam dar conta de ouvir todas as pessoas","A coragem","Ele trabalha como escultor","Por que é uma frase pega de algum lugar ",".","Medo acabou
Ir para a frente ","Uma pessoa ficar com muito medo, ser a emoção mais forte ","Da propaganda"
"2021/07/13 9:04:39 PM GMT+1","6º ano","É uma representação da vacina em si.","Darlan Rosa foi quem inventou o personagem, (Zé gotinha).","Eram assustadoras, faziam as pessoas terem medo de vacinar.","O Zé Gotinha foi criado no ano de 1986, (na época que as crianças viviam apavoradas por causa da vacina).","Quando nasceu: Ainda não possuia nome, e hoje me dia sim.","Ele aparecia no comercial chorando por que ele ainda não possuia nome.","Por um sorteio, pessoas do Brasil enviaram cartas para dar sugestões.","Eles entenderam por que mais de 10 mil pessoas votaram nesse nome.","Um menino do Distrito Federal.","Era passar coragem para quem iria se vacinar.","É um assunto sério por que ela evita doenças que botam sua vida em risco.","Não é possível pois elas são para o nosso próprio bem ( nos livrar de doenças). ","É uma doença que causa paralisia nas crianças.","Por que naquela época ainda não havia a tecnologia possível para fazer esse trabalho.","Ele incentiva por causa da sua coragem de não ter medo de vacinar.","Atualmente ele trabalha como escultor.","As aspas servem para mostrar uma fala.","Opinião: ''Darlan virou até nome de prédio''. Fato: ''Aqui, sou uma pessoa ilustre''.","A barreira dos medos: O medo das pessoas de se vacinarem. Deslanchou: Fez sucesso ( se saiu bem).","Significa ter muito medo daquilo, se apavorar com isso.","Ela selecionou do arquivo pessoal de Darlan Rosa."
"2021/07/13 9:10:20 PM GMT+1","6º ano","Zé Gotinha é um personagem fictício criado por Darlan Rosa, com o intuito de fazerem as crianças perderem o medo da vacinação.","Darlan Rosa é o criador do famoso personagem ""Zé Gotinha"". Hoje possui 74 anos, ele fazia shows infantis, e hoje faz esculturas.","Antes do Zé Gotinha as propagandas de vacinação faziam as pessoas morrerem de medo das doenças, tendo assim que ir ao posto de vacinação.","o Zé Gotinha foi criado no ano de 1986.","Zé Gotinha não nasceu como o mascote que é hoje, mas sim como a representação da vacina em si.","Segundo o texto, Zé Gotinha estava chorando pois não tinha um nome.","A escolha deste nome foi feita pela população, que enviou cartas com sugestões de nome.","Eles entederam , pois a população tinha mandado cartas com sugestões de nome.","O vencedor foi escolhido por sorteio, resultando em um garoto do Distrito Federal.","Fazer as crianças perderem o medo da vacina.","A vacina é um assunto sério pois previne o risco de pegar doenças mortais, ou incuráveis ","Não é preciso ter medo de vacina, pois ela é uma coisa feita para proteger nosso organismo de doenças.","Poliomelite é uma doença que causa a paralisia infantil.","O concurso foi feito por meios de cartas para ter melhor acesso de respostas.","O seu formato é o maior incentivo para as crianças tomarem vacina."," O Darlan Rosa é escultor hoje em em dia.","Este recurso serve para indicar falas no texto.","Fato: ""Darlan virou até nome de prédio residencial na cidade""
Opinião:""Aqui, sou uma pessoa ilustre""","A primeira palavra quer dizer que as crianças venceram o seu medo de vacina, já a segunda quer dizer que a campanha foi um sucesso.","A expressão é uma maneira exagerada de dizer que tem muito medo de algo.","A reportagem teve como as inspiração a vacina contra a poliomielite. "
"2021/07/13 9:13:55 PM GMT+1","6º ano","Zé Gotinha, é um personagem criado para ajudar as crianças a não terem mais medo da vacina.","Darlan Rosa, é o criador do atual Zé Gotinha . ","As propaganda eram assustadoras.","Ele foi criado em 1986.","Antes: era pequeno e não tinha nome.
Hoje : é pequeno e tem nome.","Ele aparecia chorando, porque tinha medo de tomar vacina.","A escolha foi feita através de pessoas que mandaram cartas escolhendo o nome do personagem.","Eles entende isso, pois é em homenagem para a vacina d gotinhas da pólio.","Um menino do Distrito Federal levou o prêmio.","A ideia principal é tirar o medo das crianças de tomar vacina.","A vacina é um assunto sério, pois assim termos uma prevenção da doença.","Não é preciso ter medo, pois é para a segurança sua e não é uma coisa que vai te matar de dor.","Poliomielite é uma doença que causa paralisia nas crianças. ","Foram entregues pela forma de cartas cartas, pois eram cartas de muitos municípios.","Há no personagem a sua forma de gota.","Atualmente Darlan Rosa trabalha como escultor.","As aspas nesse texto, servem para indicar a fala de alguém.","Fato: Darlan virou até nome de prédio residencial na cidade.
Opinião: Aqui, sou uma pessoa ilustre.","Barreira de medos:  Os medos das crianças sobre a vacina.
Deslanchou:  A campanha virou um sucesso.","Significa ter muito mais muito medo de ficar doente.","Eles selecionaram essa imagem através da vacina em gotas da Pólio. "
"2021/07/13 9:15:12 PM GMT+1","6º ano","ze gotinha e um personagem que demonstra gotas da vacina que salvam crianças de ter paralisia que o nome significa poliomielite","È a criadora do personagem Zé Gotinha.","As propagandas eram assustadoras por isso dava medo as crianças a tomar vacina.","Ze Gotinha foi criado em 1986.","Zé gotinha não era um mascote quando nasceu mas sim como vacinação entre si.Atualmente ele trabalha na tv infanil."," Zé Gotinha não tinha um nome ainda.","Por cartas escritas que foram 10 mil pessoas que escolheram o nome Zé Gotinha","Deveria,pois 10 mil pessoas escolheram esse nome a ele.","Um menino do Distrito Federal.","Ajudar as crianças a não terem medo de vacinar.","A vacina é assunto sério,pois sem ela pode ocorrer doenças nas pessoas.","Para evitar doenças.","È uma doença que dá paralisia em crianças.","Para que o máximo de brasileiros mandem as cartas para terem uma boa escolha.","Para as crianças evitar doenças.","Zé Gotinha atualmente faz propaganda na tv.","As aspas são para chamar a atenção do leitor.","Fato:Aqui,Opinião:sou uma pessoa lustre.","Quer dizer que o medo das crianças acabou graças ao Zé Gotinha.","Quer dizer que as crianças tem muito medo de tomar vacina no trecho.","Selecionou do arquivo de Darlan."
"2021/07/13 9:15:53 PM GMT+1","6º ano","Zé gotinha foi um personagem criado por Darlan para tirar o medo das crianças de se vacinarem.","Darlan rosa foi o criador de zé gotinha .","As propagandas eram assustadoras .","Ele foi criado na época de 1986.","Antigamente Zé gotinha era um boneco com duas gotinhas de pólio com isso ele recebeu ate um apelido de poliomietelite; Hoje em dia ele é azul maior é com mais fama e felicidade.

","Ele está chorando pois ele ainda não tinha um nome.","Foi feita em uma votação por meio de cartas do Brasil inteiro.","Eles entenderam isso porque a maioria das cartas estava para por Zé gotinha no nome.","Foi  um menino do Distrito federal.","Era tirar o medo das crianças.","É um assunto sério pois se a pessoa não tomar a vacina ela pode ter sérios problemas de saúde .","Não é preciso ter medo pois a vacina é para o bem e a pessoa estará mais protegida.","Poliomielite é o apelido antigo do Zé gotinha.","Na minha opinião o concurso foi feito por meio de cartas pois na época o país estava em pandemia por isso não podia aglomerar.","O personagem além dele ser uma gotinha ele não tem medo de vacinar.","Ele é escultor.","Esses trechos estão entre  aspas pois para chamarem mais atenção do leitor.","Fato:Aqui,sou uma pessoa; Opinião:Darlan virou até nome de prédio resindencial .","Barreira dos medos:Um medo grande; Deslanchou: Fluio,seguiu.
","É a pessoa ter um grande medo de algo.","A reportagem selecionou o desenho que Darlan mandou para eles."
"2021/07/13 9:18:15 PM GMT+1","6º ano","Era uma ideia para que as pessoas não tivessem medo de vacinar.","Darlan Rosa é o criador e ""pai"" do Zé Gotinha.","As propagandas eram assustadoras.","O Zé Gotinha foi criado em 1986.","Antigamente passavam muitas propagandas sobre o Zé Gotinha e ele era muito amado, atualmente ele é só mais um mascote de vacinação esquecido.","Ele aparecia chorando,pois não tinha um nome.","Foi feito um concurso e um sorteio.","Eles entenderam, pois mais de 10 mil cartas chegavam com o nome ""Zé Gotinha"".","Foi um menino do Distrito Federal.","A ideia principal era fazer as pessoas não terem medo de vacinar.","É sério , pois pode deter doenças ou até vírus .","Não é preciso ter medo, pois a vacina nos ajuda a ficar longe doenças.","É uma doença que causa paralisia nas crianças.","Foi feito por meio de cartas , pois na época ainda não havia celulares .","Ele é corajoso e forte.","O criador de Zé Gotinha trabalha como escultor.","Para indicar as falas das pessoas.","...pessoa ilustre...","Barreira dos medos: Que os medos de tomarem vacina.
Deslanchou: Fez sucesso.","Significa  ficar com muito muito medo.","Ela selecionou da internet."
"2021/07/13 9:19:25 PM GMT+1","6º ano","Zé Gotinha é um personagem criado para aparecer nas propagandas de vacinas para crianças e adultos,antes ele não era um mascote,mas hoje é.","Darlan Rosa foi quem criou o personagem e mescote ""Zé Gotinha.""","Eram com a intenção de colocar medo de doenças nas pessoas e fazerem elas tomarem as vacinas.","Ele foi criado em 1986.","Ele não possuia um nome e por isso ele aparecia nas propagandas chorando por não ter um nome. Ele não era um mascote antigamente,ele era uma representação de uma vacina.Hoje em dia ele é um mascote muito famoso,ele já possui um nome próprio e incentiva as crianças e adultos a tomarem vacina de forma legal.","Ele não aparecia por que ele não possuia um nome próprio.","Por meio de cartas do mundo inteiro.","Foi Zé Gotinha por que tinha mais de 10 mil cartas falando para colocar esse nome.","Um menino do Distrito Federal.","Convencer as crianças a tomar vacina.","A vacina é um assunto sério por que ela previne doenças perigosas.","Não é preciso ter medo por que ela vai te proteger de doenças que pode te matar.","Poliomielite é uma doença que causa paralisia nas crianças.","Ela foi feito por meio de cartas por que na época não tinha muita tecnologia e o jeito mais justo de escolher o nome era por meio de cartas.","O personagem incentiva as crianças por que ele fala que não precisa ter medo de tomar as vacinas e que elas podem te proteger.","Atualmente Darlan Rosa trabalha como escultor.","Serve para fazer uma observação de alguma coisa.","Fato: Darlan virou até nome de prédio residencial na cidade.
Opinião:""Aqui,sou uma pessoa ilustre.""","A expressão ""barreira dos medos"" está falando que as pessoas tinham muito medo de tomar vacinas e a expressão ""deslanchou"" está falando que a campanha fez muito sucesso.","""morrer de medo"" significa que as pessoas tinham muito medo das vacinas.","A imagem foi selecionada do arquivo pessoal Darlan Rosa."
"2021/07/13 9:20:18 PM GMT+1","6º ano","É a representação da vacina ","É o criador do Zé Gotinha
","Eram assustadoras","em 1986","o Zé Gotinha antigamente  não era um mascote, ele era a representação da vacina, foi criado para as pessoas não terem medo de tomar vacina.Hoje o zé Gotinha é um mascote.","
Ele aparecia chorando ,pois ele não tinha um nome.","Foi feita por uma votação","Eles entenderão que o nome deveria ser Zé Gotinha, pois mais de 10 mil pessoas votarão nesse nome","Um menino do Distrito Federal","A ideia principal era fazer as pessoas perderem o medo de tomar vacina","Sem a vacina o ser humano fica muito mais vuterável","A vacina vai te proteger não  te machucar","É uma doença que causava pararisia nas crianças","Ná época não avia celular e pelas cartas é mais dificil ter sabotagem ","O personagem avia carisma","O criador atualmente trabalha de escultor","Esse recurso foi usado para marcar as partes importantes","fato : é uma coisa que aconteceu","a expresão barreira dos medos significa que varias pessoas tem medo.
Deslanchou significa que alguma coisa deu certo","a expresão morrer de medo significa que a pessoa está com muito medo"," A imagem foi selecionada do arquivo pessoal Darlon Rosa"
"2021/07/13 9:20:21 PM GMT+1","6º ano","Zé Gotinha é um personagem que foi criado por Darlan Rosa para estimular crianças e adultos a tomarem vacinas.","Darlan Rosa é o criador do personagem Zé gotinha. Hoje em dia ,Darlan trabalha com esculturas.","Antes da criação do Zé Gotinha, as propagandas eram assustadoras, oque deixava as crianças com mais medo.","Zé Gotinha foi criado em 1936, e hoje em dia, tem 35 anos.","Com 2 anos, Zé Gotinha ainda não tinha um nome, e aparecia nos comerciais triste por isso. Hoje, Zé Gotinha é um sucesso e influencia crianças do Brasil inteiro a tomarem vacinas.","Zé Gotinha aparecia chorando por causa que ele ainda não tinha um nome.","Para a escolha do nome, foi feito um concurso com os Brasileiros.","Os organizadores decidiram que o nome seria esse, pois chegaram mais de 10 mil cartas de sugestão deste nome.","Quem ganhou o prêmio foi um garoto do Distrito Federal","A ideia principal do Zé Gotinha era para ser somente uma representação da vacina, mas hoje em dia é um sucesso no Brasil todo.","Vacina é um assunto sério, pois ela ajuda a prevenir doenças.","Não é preciso ter medo de tomar vacina, pois é algo que vai nos fazer bem e evitar futuras doenças.","Poliomielite é uma doença que causa paralisia em crianças, e que, desde 1994 não circula mais no Brasil por causa da vacina que foi criada para isso.","O concurso foi feito por meio de cartas, pois, pessoas do Brasil todo participou dano sua sugestão de nome.","Há muito carisma no personagem, oque incentiva muitas crianças.","Atualmente, Darlan Rosa, é escultor.","Esse recurso serve para mostrar a fala de alguém.","""Darlan virou até nome de prédio residencial na cidade""-Fato.     ""Aqui, sou uma pessoa ilustre""-Opnião .","Barreira de medos: medo das pessoas. Deslanchou: fez sucesso.","Neste fragmento, a expressão ""morrer de medo"" significa ficar com muito medo de algo.","A reportagem selecionou esse desenho do Arquivo pessoal Darlan Rosa."
"2021/07/13 9:21:49 PM GMT+1","6º ano","Zé Gotinha foi criado para passar coragem nas crianças que tinham medo de se vacinarem.","Darlan Rosa foi o criador do Zé Gotinha.","As propagandas de vacinação eram feitas para causa medo, fazendo com que as crianças tenham medo de ficarem doentes, assim querendo logo serem vacinadas.","Zé Gotinha foi criado em 1986.","Antigamente ele foi criado para representar a vacina e dar coragem para as crianças. Atualmente ele é o mascote dos postos de vacinação.","Ele estava chorando pois não possuía um nome.","Foi feito um concurso, onde todos os brasileiros podiam mandar uma carta com ideia de nome para o Zé Gotinha.","Foram mais de 10 mil cartas mandadas com a ideia do nome ser ""Zé Gotinha"", por isso resolveram deixar esse nome.","Foi feito um sorteio, e acabou que um menino do Distrito Federal ganhou o prêmio.","A principal ideia da campanha do Zé Gotinha era tirar o medo das crianças de tomarem vacina.","Vacina é um assunto sério pois é ela que nos previnem de ficarem doentes, muitas vezes de doenças graves que podem colocar nossa vida em risco.","Não é preciso ter medo de tomar vacina pois é ela que nos protege contra doenças; pode até doer um pouco na hora que tomamos a vacina, mas é pro nosso bem.","Poliomielie é uma doença que causa paralisia nas crianças.","Provavelmente porque na época podia não existir meios de mandar na internet, e se tivesse poderia ser muito caro e algumas pessoas não teriam condições de pagar.","O personagem possuía muito carisma e espalhava coragem para as crianças não terem medo de se vacinarem.","Atualmente ele mora em Brasília, possui 74 anos e trabalha como escultor.","As aspas foram colocadas para  representar algumas falas que o Darlan Rosa disse, marcando que eram falas dele.","Fato: ""Darlan virou até nome de prédio residencial na cidade""
Opinião: ""Aqui, sou uma pessoa ilustre"".","""Deslanchou"" significa que acelerou muito as campanhas de vacinação.","Nessa expressão ""morrer de medo"" quer dizer ter muito medo.","A reportagem escolheu esse desenho para mostrar como o Zé Gotinha era diferente de como é hoje"
"2021/07/13 9:23:13 PM GMT+1","6º ano","Zé Gotinha é duas gotas de pólio e que essas gotinhas são uma doença que fazia paralisia em crianças.","Darlan Rosa é uma pessoa que criou o Zé Gotinha.","As propagandas antes de ele ter esse nome, eram dele sentado num cantinho chorando por causa que ainda não tinha nome.","Zé Gotinha foi criado em 1986.","As características do Zé gotinha antigamente era demonstrar uma vacina em si.","Ele aparecia chorando, pois ainda não tinha nome.","Foi feita com um concurso que todos os brasileiros mandaram cartas de sugestões para o nome dele.","Os organizadores entenderam que o nome devia ser Zé Gotinha, pois ele era duas gotinhas de pólio.","Quem levou o prêmio foi um menino do Distrito Federal.","A ideia principal da campanha era dar nome ao Zé Gotinha.","A vacina é um assunto sério, pois se tomar a vacina você pode estar livrando de morrer.","Não é preciso ter medo de tomar vacina, pois o seu corpo fica imune a um vírus ou uma doença.","Poliomielite é uma doença que causa paralisia em crianças.","O concurso foi feito por meio de cartas, pois antigamente não existia celular, computador, etc.","Há no personagem uma passagem para que as crianças tomassem vacina sem medo.","Ele hoje em dia trabalha como escultor, em Brasília.","Eles servem para demonstrar que está copiando uma frase de Darlan Rosa.","Fato: ""Darlan virou até nome de prédio residencial na cidade"".
Opinião: ""Aqui, sou uma pessoa ilustre"".","Barreira dos medos: as barreiras eram para que não deixassem as crianças passarem dela.
Deslanchou: desmanchou, caiu."," Significa ficar com muito medo","Ela selecionou num arquivo pessoal de Darlan Rosa."
"2021/07/13 9:27:09 PM GMT+1","6º ano","Zé Gotinha é um personagem criado por Darlan, para dar coragem as crianças e alguns adulto a tomarem vacinas. Ele é uma representação de uma própria vacina.","Darlan Rosa é o criador do Zé Gotinha.","As propagandas antigamente eram assustadoras para, incentivar as crianças que as doenças eram perigosas e tomarem vacina.","Zé Gotinha foi criando em 1986.","Ele nasceu em 1986, quando ele nasceu, era azul, agora ele é branco. Sua personalidade também mudou bastante com o tempo.","Ele aparecia chorando, pois ficava triste por não ter um nome ainda.","Fizeram um concurso e chamaram todos os brasileiros para dar sugestões de nomes para ele, teve muito empate de nome, então fizeram uma votação. Nessas sugestões mais de 10 mil pessoas escolheram Zé Gotinha. Esse nome ganhou.","Os organizadores entenderam que o nome seria este, e,para escolherem só um vencedor, fizeram um sorteio.","Quem levou o prêmio um menino do Distrito Federal.","Incentivar as crianças a tomar vacinas.","Vacina é um assusto sério, pois serve para prevenir doenças, gripes, e etc.","Não é preciso ter medo, porque vacina é um assunto sério e é necessário para a humanidade.","Poliomielite é uma doença que causa paralisia nas crianças, porém hoje em dia não circula mais no Brasil por causa das vacinas que todos tomam agora.","O concurso foi feito em cartas, pois antigamente as pessoas não tinham tecnologia avançada que nem hoje, ou não tinham condições para comprar um.","O que incentiva elas é o fato dele ser uma gotinha. E ele agradar as crianças com sua aparência.","O criador do Zé Gotinha atualmente trabalha como escultor em Brasília.","As aspas no texto servem para indicar uma fala de uma pessoa.","Fato: Darlan, virou até nome de prédio residencial na cidade. / Opinião: ""Aqui, sou uma pessoa ilustre"".","O sentido das palavras em destaque quer dizer que o medo das pessoas caiu e não a maior parte delas não tem medo.","O significado de ""morrer de medo"" é ficar com muito medo de ficar doente de acordo com o trecho.","Eles selecionaram do: ""Arquivo pessoal Darlan Rosa"""
"2021/07/13 9:29:53 PM GMT+1","6º ano","É um personagem que foi inventado para a campanha de vacinação para as crianças não terem tanto medo de tomar vacina.","É o homem  que criou o Zé Gotinha.","Essas propagandas eram passando medo nas pessoas mostrando o tanto que era ruim ficar doente, assim fazendo elas irem tomar vacina.","Ele foi criado em 1986.","Ele não tinha nome e era em formato de uma vacina. Hoje em dia ele possui uma cabeça de gotinha e corpo de um ser humano.","Ele aparecia chorando pois ele não tinha nome .","Darlan Rosa fez um concurso e convidou todos os brasileiros para participar. O concurso consistia em mandar uma carta, que caminhões iriam nos municípios buscar as cartas que estavam escrita a sugestão de nomes para o Zé Gotinha, que na época não tinha nome.","Pois 10 mil crianças deram a sugestão desse nome.","Um menino que mora no Distrito Federal.","As crianças pararem de terem medo de ir tomar vacina.","Tomando vacina podemos proteger nos de pegarmos vírus e doença. ","Pois e algo rápido que não doi e que te previne de varias coisas.","É o nome de uma doença que da paralisia em crianças.","pois na época não existia era todo mundo que tinha acesso a internet.","ele e corajoso, legal, carismático...","Atualmente ele trabalha como escultor em Brasilia.","Para indicar a fala das pessoas.","fato: prédio residencial 
opinião: ilustre.","O medo de tomar vacina acabou.","Ficar com muito medo de ficar doente.","O Darlan Rosa."
